review_time_s,available_time_s,available_time_h,success,reviewed_assets,accepted_assets
10,130896,36,0.01,13089,130
10,111982,31,0.01,11198,111
10,76747,21,0.01,7674,76
10,129519,35,0.01,12951,129
10,63824,17,0.01,6382,63
10,51101,14,0.01,5110,51
10,4960,1,0.01,496,4
10,90886,25,0.01,9088,90
10,1876,0,0.01,187,1
10,117626,32,0.01,11762,117
10,93718,26,0.01,9371,93
10,26045,7,0.01,2604,26
10,99700,27,0.01,9970,99
10,97565,27,0.01,9756,97
10,103121,28,0.01,10312,103
10,863576,239,0.01,86357,863
10,45378,12,0.01,4537,45
10,74354,20,0.01,7435,74
10,55314,15,0.01,5531,55
10,95805,26,0.01,9580,95
10,105485,29,0.01,10548,105
10,136133,37,0.01,13613,136
10,24127,6,0.01,2412,24
10,104128,28,0.01,10412,104
10,75372,20,0.01,7537,75
10,57307,15,0.01,5730,57
10,125321,34,0.01,12532,125
10,549012,152,0.01,54901,549
10,210142,58,0.01,21014,210
10,13155,3,0.01,1315,13
10,25136,6,0.01,2513,25
10,375256,104,0.01,37525,375
10,139890,38,0.01,13989,139
10,75996,21,0.01,7599,75
10,38370,10,0.01,3837,38
10,40940,11,0.01,4094,40
10,111719,31,0.01,11171,111
10,67518,18,0.01,6751,67
10,22346,6,0.01,2234,22
10,44047,12,0.01,4404,44
10,118769,32,0.01,11876,118
10,182099,50,0.01,18209,182
10,81297,22,0.01,8129,81
10,16039,4,0.01,1603,16
10,582895,161,0.01,58289,582
10,627840,174,0.01,62784,627
10,817783,227,0.01,81778,817
10,14538,4,0.01,1453,14
10,18800,5,0.01,1880,18
10,593685,164,0.01,59368,593
10,134053,37,0.01,13405,134
10,42607,11,0.01,4260,42
10,4735,1,0.01,473,4
10,960672,266,0.01,96067,960
10,95814,26,0.01,9581,95
10,83657,23,0.01,8365,83
10,103738,28,0.01,10373,103
10,96749,26,0.01,9674,96
10,57199,15,0.01,5719,57
10,123761,34,0.01,12376,123
10,64840,18,0.01,6484,64
10,118914,33,0.01,11891,118
10,65519,18,0.01,6551,65
10,139569,38,0.01,13956,139
10,126022,35,0.01,12602,126
10,924025,256,0.01,92402,924
10,95859,26,0.01,9585,95
10,25847,7,0.01,2584,25
10,103011,28,0.01,10301,103
10,28101,7,0.01,2810,28
10,17137,4,0.01,1713,17
10,39597,10,0.01,3959,39
10,139273,38,0.01,13927,139
10,136463,37,0.01,13646,136
10,133574,37,0.01,13357,133
10,131556,36,0.01,13155,131
10,71292,19,0.01,7129,71
10,85478,23,0.01,8547,85
10,85028,23,0.01,8502,85
10,41733,11,0.01,4173,41
10,72681,20,0.01,7268,72
10,945330,262,0.01,94533,945
10,71582,19,0.01,7158,71
10,137516,38,0.01,13751,137
10,734056,203,0.01,73405,734
10,120650,33,0.01,12065,120
10,123283,34,0.01,12328,123
10,121120,33,0.01,12112,121
10,19637,5,0.01,1963,19
10,44648,12,0.01,4464,44
10,46048,12,0.01,4604,46
10,132721,36,0.01,13272,132
10,21719,6,0.01,2171,21
10,113067,31,0.01,11306,113
10,115631,32,0.01,11563,115
10,23817,6,0.01,2381,23
10,13756,3,0.01,1375,13
10,12807,3,0.01,1280,12
10,82599,22,0.01,8259,82
10,80197,22,0.01,8019,80
10,469064,130,0.01,46906,469
10,420826,116,0.01,42082,420
10,96105,26,0.01,9610,96
10,139657,38,0.01,13965,139
10,68229,18,0.01,6822,68
10,58443,16,0.01,5844,58
10,638033,177,0.01,63803,638
10,27565,7,0.01,2756,27
10,39787,11,0.01,3978,39
10,592702,164,0.01,59270,592
10,53828,14,0.01,5382,53
10,758112,210,0.01,75811,758
10,27433,7,0.01,2743,27
10,120514,33,0.01,12051,120
10,371137,103,0.01,37113,371
10,83072,23,0.01,8307,83
10,89200,24,0.01,8920,89
10,10896,3,0.01,1089,10
10,50831,14,0.01,5083,50
10,128097,35,0.01,12809,128
10,699666,194,0.01,69966,699
10,691775,192,0.01,69177,691
10,10532,2,0.01,1053,10
10,20543,5,0.01,2054,20
10,75119,20,0.01,7511,75
10,132421,36,0.01,13242,132
10,109536,30,0.01,10953,109
10,70597,19,0.01,7059,70
10,93307,25,0.01,9330,93
10,51385,14,0.01,5138,51
10,84272,23,0.01,8427,84
10,38153,10,0.01,3815,38
10,121700,33,0.01,12170,121
10,126629,35,0.01,12662,126
10,633132,175,0.01,63313,633
10,15482,4,0.01,1548,15
10,92006,25,0.01,9200,92
10,776320,215,0.01,77632,776
10,46066,12,0.01,4606,46
10,77335,21,0.01,7733,77
10,120624,33,0.01,12062,120
10,52099,14,0.01,5209,52
10,27725,7,0.01,2772,27
10,99238,27,0.01,9923,99
10,72181,20,0.01,7218,72
10,133021,36,0.01,13302,133
10,46913,13,0.01,4691,46
10,108907,30,0.01,10890,108
10,37094,10,0.01,3709,37
10,91511,25,0.01,9151,91
10,32291,8,0.01,3229,32
10,132645,36,0.01,13264,132
10,70616,19,0.01,7061,70
10,111876,31,0.01,11187,111
10,38810,10,0.01,3881,38
10,41819,11,0.01,4181,41
10,810179,225,0.01,81017,810
10,36810,10,0.01,3681,36
10,546857,151,0.01,54685,546
10,11064,3,0.01,1106,11
10,438424,121,0.01,43842,438
10,26094,7,0.01,2609,26
10,117149,32,0.01,11714,117
10,102575,28,0.01,10257,102
10,94580,26,0.01,9458,94
10,121563,33,0.01,12156,121
10,14452,4,0.01,1445,14
10,51379,14,0.01,5137,51
10,130539,36,0.01,13053,130
10,45299,12,0.01,4529,45
10,86490,24,0.01,8649,86
10,84405,23,0.01,8440,84
10,71844,19,0.01,7184,71
10,132613,36,0.01,13261,132
10,134425,37,0.01,13442,134
10,113440,31,0.01,11344,113
10,559783,155,0.01,55978,559
10,127334,35,0.01,12733,127
10,232909,64,0.01,23290,232
10,17709,4,0.01,1770,17
10,61402,17,0.01,6140,61
10,18858,5,0.01,1885,18
10,61238,17,0.01,6123,61
10,118625,32,0.01,11862,118
10,75741,21,0.01,7574,75
10,603605,167,0.01,60360,603
10,54947,15,0.01,5494,54
10,85441,23,0.01,8544,85
10,90554,25,0.01,9055,90
10,139677,38,0.01,13967,139
10,10746,2,0.01,1074,10
10,126590,35,0.01,12659,126
10,138622,38,0.01,13862,138
